PG,John Wall,GTD
SG,Bradley Beal
SF,Otto Porter
PF,Markieff Morris
C,Marcin Gortat
PG,Darren Collison
SG,Victor Oladipo
SF,Bojan Bogdanovic
PF,Thaddeus Young
C,Myles Turner
PG,Stephen Curry
SG,Klay Thompson
SF,Andre Iguodala
PF,Draymond Green
C,Zaza Pachulia
PG,Reggie Jackson
SG,Avery Bradley
SF,Stanley Johnson
PF,Tobias Harris
C,Andre Drummond
PG,Jerian Grant
SG,Justin Holiday
SF,Denzel Valentine
PF,Lauri Markkanen
C,Robin Lopez
PG,Jamal Murray
SG,Will Barton
SF,Wilson Chandler
PF,Paul Millsap
C,Nikola Jokic
PG,Kyle Lowry
SG,DeMar DeRozan
SF,OG Anunoby
PF,Serge Ibaka,GTD
C,Jonas Valanciunas
PG,Goran Dragic
SG,Dion Waiters
SF,Josh Richardson
PF,Justise Winslow
C,Hassan Whiteside
PG,Spencer Dinwiddie
SG,Allen Crabbe
SF,DeMarre Carroll
PF,R. Hollis-Jefferson
C,Trevor Booker
PG,Jeff Teague
SG,Jimmy Butler
SF,Andrew Wiggins
PF,Taj Gibson
C,Karl-Anthony Towns
PG,Tyler Ulis
SG,Devin Booker
SF,T.J. Warren
PF,Marquese Chriss
C,Alex Len
PG,Lonzo Ball
SG,K. Caldwell-Pope
SF,Brandon Ingram
PF,Kyle Kuzma
C,Brook Lopez
