PG,Ricky Rubio,GTD
SG,Donovan Mitchell
SF,Joe Ingles
PF,Jonas Jerebko
C,Derrick Favors
PG,S. Thornwell
SG,Austin Rivers
SF,Wesley Johnson
PF,Blake Griffin
C,DeAndre Jordan
PG,Kyrie Irving
SG,Jaylen Brown
SF,Jayson Tatum
PF,Marcus Morris
C,Al Horford
PG,Stephen Curry
SG,Klay Thompson
SF,Kevin Durant
PF,Draymond Green
C,Zaza Pachulia
PG,Chris Paul
SG,James Harden
SF,Trevor Ariza
PF,Ryan Anderson
C,Clint Capela
PG,Eric Bledsoe
SG,Khris Middleton
SF,Tony Snell
PF,G. Antetokounmpo
C,John Henson
PG,George Hill
SG,Garrett Temple
SF,Bogdan Bogdanovic
PF,Zach Randolph
C,W. Cauley-Stein
PG,Elfrid Payton
SG,Evan Fournier
SF,Terrence Ross
PF,Aaron Gordon
C,Nikola Vucevic
PG,Kemba Walker,GTD
SG,Nicolas Batum
SF,M. Kidd-Gilchrist
PF,Marvin Williams
C,Dwight Howard
PG,Dennis Schroder
SG,Kent Bazemore
SF,Taurean Prince
PF,Luke Babbitt,GTD
C,Dewayne Dedmon
PG,Ben Simmons
SG,J.J. Redick
SF,Dario Saric
PF,Robert Covington
C,Joel Embiid
PG,Mario Chalmers
SG,Dillon Brooks
SF,James Ennis
PF,JaMychal Green
C,Marc Gasol
PG,Dennis Smith
SG,Yogi Ferrell
SF,Wesley Matthews
PF,Harrison Barnes
C,Dirk Nowitzki
PG,Damian Lillard
SG,C.J. McCollum
SF,Maurice Harkless
PF,Caleb Swanigan
C,Jusuf Nurkic
